AttendanceID,EmployeeID,AttendanceDate,Status,HoursWorked,OvertimeHours
1,1,2025-08-29,Present,7.2,0.0
2,1,07-18-2025,Present,8.7,2.0
3,1,2025-04-09,Present,9.2,0.0
4,1,2025-01-08,Present,8.7,0.0
5,1,24/04/2025,Present,7.0,0.0
6,1,15-Apr-2025,Late,6.4,0.0
7,1,2025-08-13,Present,7.2,0.0
8,1,2025-06-16,Present,9.0,0.0
9,1,2025-08-07,Present,9.5,2.4
10,1,2025-07-14,Present,8.7,0.0
11,1,20-Oct-2025,Present,7.6,0.0
12,1,27-Dec-2025,Present,8.1,0.0
13,2,2025-08-20,Present,9.1,0.0
14,2,2025-05-06,Present,7.4,0.0
15,2,2025-01-21,Present,7.7,0.0
16,2,19/11/2025,Present,8.1,0.0
17,2,2025-08-14,Present,8.8,0.0
18,2,2025-05-27,Present,7.9,0.0
19,2,10/11/2025,Present,9.3,0.0
20,2,14-Mar-2025,Present,7.2,0.0
21,2,16/02/2025,Present,7.9,3.0
22,2,2025-10-27,Present,7.6,0.0
23,2,11-Mar-2025,Present,8.6,0.0
24,2,2025-01-13,Late,5.0,0.0
25,2,2025-12-31,Present,7.1,0.0
26,2,02-16-2025,Present,7.3,0.0
27,2,2025-12-31,Present,9.3,0.0
28,2,2025-03-05,Absent,0.0,0.0
29,3,2025-12-28,Present,8.4,0.0
30,3,2025-09-26,Present,9.0,0.0
31,3,2025-09-19,Present,7.8,0.0
32,3,2025-10-09,Present,8.5,0.0
33,3,2025-06-21,Present,8.2,0.0
34,3,2025-03-18,Present,9.4,3.1
35,3,2025-12-31,Absent,0.0,0.0
36,3,06-07-2025,Present,8.8,0.0
37,3,2025-08-17,Present,7.1,0.0
38,3,09-Mar-2025,Present,8.4,2.1
39,3,10/05/2025,Absent,0.0,0.0
40,3,2025-09-12,Present,9.3,0.0
41,3,2025-01-03,Present,7.6,0.0
42,3,2025-04-22,Present,7.7,0.0
43,3,2025-07-29,Present,8.0,0.0
44,3,2025-01-04,Present,7.6,0.0
45,3,11-14-2025,Present,7.3,0.0
46,3,2025-04-17,Absent,0.0,0.0
47,3,2025-03-17,Absent,0.0,0.0
48,3,2025-06-28,Absent,0.0,0.0
49,3,2025-01-17,Present,9.1,0.0
50,3,2025-06-02,Present,8.4,3.5
51,3,2025-02-25,Present,9.1,0.0
52,3,12-11-2025,Present,7.7,0.0
53,3,2025-12-25,Present,8.4,0.0
54,3,2025-04-01,Present,7.2,0.0
55,3,2025-07-04,Present,9.3,1.9
56,3,06-03-2025,Present,8.0,0.0
57,3,2025-02-04,Present,7.8,0.0
58,3,2025-02-03,Present,8.2,1.4
59,3,2025-12-22,Present,7.9,
60,3,2025-07-31,PRESENT,9.0,0.0
61,3,2025-11-10,Late,,0.0
62,3,19/11/2025,Present,7.8,2.1
63,4,2025-12-19,Present,9.2,0.0
64,4,2025-12-28,Late,4.7,0.0
65,4,2025-06-12,LATE,7.2,0.0
66,4,2025-11-16,present,7.5,
67,4,2025-10-16,Present,8.5,0.0
68,4,2025-09-12,Present,8.4,0.0
69,4,2025-11-09,Absent,0.0,0.0
70,4,2025-05-29,Present,9.1,0.9
71,4,2025-01-13,present,7.9,0.0
72,4,2025-04-17,Present,8.3,0.0
73,4,2025-07-31,Absent,0.0,0.0
74,4,2025-06-29,Present,9.0,0.0
75,4,2025-01-06,Present,7.5,0.0
76,4,2025-05-11,Present,9.0,0.0
77,4,17/09/2025,Present,8.0,0.0
78,4,2025-02-28,Present,7.5,0.0
79,4,2025-10-19,Present,8.9,
80,4,2025-03-31,Absent,0.0,0.0
81,4,23-Jun-2025,PRESENT,8.3,0.0
82,4,2025-08-31,Present,7.2,0.0
83,4,2025-09-04,Absent,0.0,0.0
84,4,2025-08-24,present,7.9,0.0
85,4,21-Jun-2025,Present,8.5,0.0
86,4,2025-01-29,Present,8.4,0.0
87,4,2025-12-14,Late,5.7,0.0
88,4,2025-04-17,Present,8.1,0.0
89,4,2025-07-01,Absent,0.0,0.0
90,4,2025-03-18,Late,5.2,2.1
91,4,2025-07-12,Present,9.4,0.0
92,4,2025-10-20,Present,9.1,0.0
93,4,2025-03-01,Present,7.4,0.0
94,4,2025-12-28,Present,7.1,0.0
95,5,20/05/2025,Present,9.3,0.0
96,5,2025-05-02,Present,8.3,0.0
97,5,2025-06-04,Present,8.3,0.0
98,5,27/02/2025,Present,9.0,1.6
99,5,2025-04-14,Present,8.2,0.0
100,5,2025-01-13,Present,9.4,0.0
101,5,2025-03-20,Present,8.7,0.0
102,5,2025-09-26,Present,7.4,0.0
